기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,경북,국립경국대학교,73,14,0,5,6,0,10,10,0,0,40.0,73.0,40.0,1.022818254603683,12.0,13.022818254603683
2025.0,충남,국립공주대학교,307,67,32,20,13,0,44,38,6,0,33.3,307.0,33.3,4.3014411529223375,9.989999999999998,14.291441152922335
2025.0,전북,국립군산대학교,422,162,9,49,90,0,51,51,0,0,16.5,422.0,16.5,5.9127301841473185,4.95,10.862730184147319
2025.0,경북,국립금오공과대학교,30,7,0,14,0,0,6,6,0,0,28.6,30.0,28.6,0.42033626901521215,8.580000000000002,9.000336269015214
2025.0,전남,국립목포대학교,71,41,0,5,1,0,19,19,0,0,40.4,71.0,40.4,0.9947958366693355,12.12,13.114795836669334
2025.0,전남,국립목포해양대학교,154,0,0,9,0,0,1,1,0,0,11.1,154.0,11.1,2.157726180944756,3.33,5.487726180944756
2025.0,부산,국립부경대학교,1115,614,37,31,11,0,410,410,0,0,59.2,1115.0,59.2,15.62249799839872,17.76,33.38249799839872
2025.0,전남,국립순천대학교,261,97,23,27,10,0,65,65,0,0,41.4,261.0,41.4,3.6569255404323457,12.42,16.076925540432345
2025.0,경남,국립창원대학교,277,119,3,4,2,0,71,71,0,0,55.5,277.0,55.5,3.881104883907126,16.650000000000002,20.531104883907126
2025.0,충북,국립한국교통대학교,113,25,2,6,2,0,12,12,0,0,34.3,113.0,34.3,1.5832666132906326,10.29,11.873266613290632
2025.0,부산,국립한국해양대학교,241,10,4,76,0,0,78,7,71,0,86.7,241.0,86.7,3.3767013610888714,26.009999999999998,29.386701361088868
2025.0,대전,국립한밭대학교,305,50,0,15,9,0,38,38,0,0,51.4,305.0,51.4,4.273418734987991,15.42,19.69341873498799
2025.0,서울,국민대학교,1533,785,37,176,132,0,534,507,26,1,47.3,1533.0,47.3,21.479183346677342,14.19,35.66918334667734
2025.0,경기,국제사이버대학교,9,8,0,0,1,0,0,0,0,0,0.0,9.0,0.0,0.12610088070456366,0.0,0.12610088070456366
2025.0,충북,극동대학교,806,620,4,144,4,0,669,9,615,45,86.7,806.0,86.7,11.293034427542034,26.009999999999998,37.30303442754203
2025.0,충남,글로벌사이버대학교,168,17,0,147,4,0,0,0,0,0,0.0,168.0,0.0,2.353883106485188,0.0,2.353883106485188
2025.0,경북,김천대학교,466,167,26,35,0,0,36,36,0,0,15.8,466.0,15.8,6.529223378702962,4.74,11.269223378702963
2025.0,충남,나사렛대학교,413,116,7,0,15,0,35,26,7,2,25.4,413.0,25.4,5.786629303442754,7.62,13.406629303442754
2025.0,광주,남부대학교,231,66,5,13,2,0,23,23,0,0,26.7,231.0,26.7,3.236589271417134,8.01,11.246589271417134
2025.0,충남,남서울대학교,1544,657,37,34,14,0,176,133,43,0,23.7,1544.0,23.7,21.633306645316253,7.109999999999999,28.743306645316252
2025.0,경기,단국대학교,956,329,0,30,354,0,225,183,41,1,31.6,956.0,31.6,13.394715772618094,9.48,22.874715772618096
2025.0,충남,단국대학교_제2캠퍼스,147,30,18,0,48,0,39,39,0,0,40.6,147.0,40.6,2.0596477181745394,12.180000000000001,14.239647718174542
2025.0,경북,대구가톨릭대학교,1178,323,390,94,95,0,68,30,38,0,7.5,1178.0,7.5,16.505204163330664,2.25,18.755204163330664
2025.0,대구,대구경북과학기술원,15,0,15,0,0,0,14,0,13,1,93.3,15.0,93.3,0.21016813450760607,27.99,28.200168134507603
2025.0,대구,대구교육대학교,2,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.028022417934347475,0.0,0.028022417934347475
2025.0,경북,대구대학교,1660,1175,19,159,93,0,194,194,0,0,13.4,1660.0,13.4,23.258606885508406,4.0200000000000005,27.278606885508406
2025.0,경북,대구사이버대학교,31,15,9,7,0,0,0,0,0,0,0.0,31.0,0.0,0.43434747798238593,0.0,0.43434747798238593
2025.0,경북,대구예술대학교,227,82,0,0,14,0,71,1,70,0,74.0,227.0,74.0,3.1805444355484385,22.2,25.380544435548437
2025.0,경북,대구한의대학교,1637,1098,171,24,4,0,222,158,64,0,17.1,1637.0,17.1,22.93634907926341,5.130000000000001,28.06634907926341
2025.0,경북,대신대학교,950,577,0,0,274,0,83,17,66,0,9.8,950.0,9.8,13.310648518815052,2.94,16.25064851881505
2025.0,세종,대전가톨릭대학교,1,1,0,0,0,0,1,1,0,0,100.0,1.0,100.0,0.014011208967173738,30.0,30.014011208967172
2025.0,대전,대전대학교,356,195,32,23,4,1,70,70,0,0,27.5,356.0,27.5,4.987990392313851,8.25,13.23799039231385
2025.0,경기,대진대학교,1104,1001,4,16,55,0,485,30,455,0,45.1,1104.0,45.1,15.468374699759806,13.530000000000001,28.998374699759808
2025.0,서울,덕성여자대학교,571,140,2,10,5,0,97,97,0,0,61.8,571.0,61.8,8.000400320256205,18.54,26.540400320256204
2025.0,경북,동국대학교(WISE)_분교,420,269,5,11,81,9,22,22,0,0,5.9,420.0,5.9,5.88470776621297,1.77,7.6547077662129706
2025.0,서울,동국대학교,2691,902,7,66,205,0,679,679,0,0,57.5,2691.0,57.5,37.704163330664535,17.25,54.954163330664535
2025.0,서울,동덕여자대학교,56,31,5,0,19,0,7,7,0,0,12.7,56.0,12.7,0.7846277021617293,3.81,4.59462770216173
2025.0,부산,동명대학교,1056,600,3,354,45,0,794,50,743,1,79.2,1056.0,79.2,14.795836669335468,23.76,38.55583666933547
2025.0,부산,동서대학교,1497,252,2,66,41,0,232,57,174,1,64.3,1497.0,64.3,20.974779823859084,19.29,40.26477982385909
2025.0,전남,동신대학교,989,647,11,110,19,0,604,82,522,0,76.7,989.0,76.7,13.857085668534827,23.01,36.86708566853483
2025.0,부산,동아대학교,1676,464,17,40,9,0,307,178,129,0,57.9,1676.0,57.9,23.482786228983187,17.369999999999997,40.852786228983184
2025.0,경북,동양대학교,725,385,0,30,1,0,121,21,100,0,29.1,725.0,29.1,10.158126501200961,8.73,18.88812650120096
2025.0,부산,동의대학교,586,309,3,222,7,0,493,51,442,0,91.1,586.0,91.1,8.210568454763811,27.33,35.54056845476381
2025.0,서울,디지털서울문화예술대학교,34,26,0,0,8,0,0,0,0,0,0.0,34.0,0.0,0.4763811048839071,0.0,0.4763811048839071
2025.0,경기,명지대학교,301,0,5,41,110,0,72,41,31,0,46.2,301.0,46.2,4.217373899119296,13.860000000000001,18.077373899119298
2025.0,서울,명지대학교_제2캠퍼스,2127,1190,7,7,0,0,476,476,0,0,39.5,2127.0,39.5,29.80184147317854,11.850000000000001,41.65184147317854
2025.0,대전,목원대학교,1494,539,11,22,23,0,183,183,0,0,30.8,1494.0,30.8,20.932746196957567,9.24,30.17274619695757
2025.0,대전,배재대학교,1131,228,22,29,26,0,89,89,0,0,29.2,1131.0,29.2,15.846677341873498,8.76,24.6066773418735
2025.0,충남,백석대학교,469,158,96,0,70,0,173,39,134,0,53.4,469.0,53.4,6.571257005604484,16.02,22.591257005604483
2025.0,부산,부산가톨릭대학교,614,494,3,9,0,0,48,48,0,0,9.5,614.0,9.5,8.602882305844675,2.85,11.452882305844675
2025.0,부산,부산대학교,1134,281,76,161,76,0,515,403,111,1,86.7,1134.0,86.7,15.88871096877502,26.009999999999998,41.89871096877502
2025.0,부산,부산디지털대학교,48,48,0,0,0,0,0,0,0,0,0.0,48.0,0.0,0.6725380304243395,0.0,0.6725380304243395
2025.0,부산,부산외국어대학교,1192,768,0,36,6,0,185,185,0,0,22.8,1192.0,22.8,16.7013610888711,6.84,23.5413610888711
2025.0,서울,사이버한국외국어대학교,312,312,0,0,0,0,0,0,0,0,0.0,312.0,0.0,4.371497197758207,0.0,4.371497197758207
